id,course_id,section,semester_id,fac_code
27755,HRM5185,3,36,SMS
27756,HRM5185,4,36,JIR
27757,HRM5185,5,36,MQR
27758,HRM6184,3,36,TBD20
27759,HRM6184,4,36,TBD20
27760,HRM6184,5,36,MDS
27761,HRM6184,6,36,MDS
27762,HRM6187,3,36,TBD20
27763,HRM6187,4,36,TBD20
27764,HRM6187,5,36,KI
27765,HRM6187,6,36,KI
27766,HRM6190,3,36,TBD20
27767,HRM6190,4,36,TBD20
27768,HRM6197,3,36,TBD20
27769,HRM6197,4,36,TBD20
27770,HRM6197,5,36,GTH
27771,HRM6197,6,36,TBD20
27772,IST4263,1,36,SMHI
27773,MGT5115,3,36,TBD20
27774,MGT5115,4,36,TBD20
27775,MGT5115,5,36,SRZ
27776,MGT5115,6,36,DSHI
27777,MGT5115,7,36,SRZ
27778,MGT5115,8,36,MMRA
27779,MGT5115,9,36,SJC
27780,MGT5187,5,36,TBD20
27781,MGT5187,6,36,TBD20
27782,MGT5187,7,36,KI
27783,MGT5187,8,36,SMSD
27784,MGT5187,9,36,MNJ
27785,MGT5187,10,36,AMC
27786,MGT5187,11,36,AMC
27787,IST2212,1,36,DMKA
27788,MGT5199,5,36,DMM
27789,MGT5199,6,36,TBD20
27790,MGT5199,7,36,SMS
27791,MGT5199,8,36,ASK
27792,MGT5199,9,36,DSHI
27793,MDS5205,1,36,TGR
27794,MGT5199,10,36,MAT
27795,MGT5199,11,36,GMF
27796,MDS5209,1,36,PDS
27797,MDS5211,1,36,PDM
27798,MKT5134,1,36,ZHN
27799,MKT5134,2,36,ITA
27800,MKT5134,3,36,ITA
27801,MKT5134,4,36,ITA
27802,MKT5134,5,36,DRA
27803,MKT6161,2,36,TBD20
27804,MKT6161,3,36,TBD20
27805,MKT6161,4,36,SRZ
27806,MKT6161,5,36,TBD20
27807,MKT6163,2,36,TBD20
27808,MKT6163,3,36,TBD20
27809,MKT6163,4,36,DRA
27810,MKT6163,5,36,TBD20
27811,MKT6164,2,36,TBD20
27812,MKT6164,3,36,TBD20
27813,MKT6164,4,36,DRA
27814,MKT6164,5,36,TBD20
27815,MKT6166,2,36,TBD20
27816,MKT6166,3,36,TBD20
27817,MKT6166,4,36,ZHN
27818,MKT6166,5,36,TBD20
27819,TAM6111,1,36,ES
27820,TAM6112,1,36,SFH
27821,TAM6113,1,36,MIN
27822,TAM6114,1,36,JKH
27823,MIS6160,1,36,TBD20
27824,MIS6165,1,36,TBD20
27825,HRM6190,5,36,MAT
27826,HRM6190,6,36,TBD20
27827,MGT5187,12,36,TBD20
27828,HRM5185,6,36,JIR
27830,ENG5202,1,36,ZAM
27831,ENG5203,1,36,MOD
27832,ENG5211,1,36,MMT
27833,ENG5213,1,36,MAB
27835,ENG5220,1,36,DAZ
27836,ENG5231,1,36,JA
27837,ENG5238,1,36,ITN
27839,ENG5235,1,36,SYM
27840,ENG5201,1,36,SKM
27841,ENG5239,1,36,DAZ
27842,IS332,1,36,DMD
27843,IS411,1,36,HBH
27844,IS412,1,36,MKI
27845,IS232,1,36,SMHI
27846,IS234,1,36,ABH
27847,FIN6161,7,36,KUR
27849,HSS2283,1,36,STV
27850,IST4281,1,36,DFI
27851,ENG1001,24,36,FKA
27852,ENG1001,25,36,FKA
27853,ENG1001,26,36,NMK
27854,ENG1002,23,36,SFZ
27855,ENG1002,24,36,SFZ
27856,ENG1001,27,36,AYSK
27857,ENG1002,25,36,AYSK
27858,CSE4055,1,36,TBD1
27859,CSE4056,1,36,TBD1
27860,CSE4000,1,36,TBD1
27861,CSE433,1,36,TBD1
27862,CSE434,1,36,TBD1
27863,CSE400,1,36,TBD1
27864,CSE4013,1,36,KMH
27865,CSE122,1,36,KMH
27866,CSE1033,2,36,KMH
27867,CSE1011,1,36,SM
27868,CSE1011,2,36,SM
27869,CSE2032,1,36,AR
27870,CSE413,1,36,KMH
27871,CSE1033,1,36,KMH
27872,CSE1012,1,36,SM
27873,CSE3024,1,36,RIK
27874,CSE133,1,36,AR
27875,CSE4033,1,36,MKSR
27876,SOC2031,1,36,RAJ
27877,SOC2031,2,36,RAJ
27878,SOC2031,3,36,AR
27879,MATH1024,3,36,RBH
27880,CSE2031,1,36,AR
27881,CHEM1031,1,36,SAFN
27882,PHY1021,3,36,DMH
27883,CSE3035,1,36,RIK
27884,CSE3031,1,36,RIK
27885,MATH124,1,36,RBH
27886,CSE2015,1,36,MKSR
27887,CSE333,1,36,MKSR
27888,CSE3015,1,36,AHQ
27889,CSE414,1,36,RIK
27890,CSE322,1,36,RIK
27891,CSE1021,2,36,NKS
27892,CHEM1031,2,36,SAFN
27893,EEE2039,2,36,AK
27894,CSE312,1,36,AHQ
27895,EEE4029,1,36,DMH
27896,PHY1031,3,36,DMH
27897,MATH1035,2,36,MDAR
27898,CSE2013,1,36,SA
27899,MATH2015,3,36,KHC
27900,EEE2011,1,36,RF
27901,MATH1024,1,36,RBH
27902,MATH1024,2,36,RBH
27903,CSE3013,1,36,SA
27904,EEE3023,1,36,RDA
27905,EEE2033,1,36,MNIK
27906,EEE4019,1,36,RDA
27907,CSE3015,2,36,AHQ
27908,CSE121,1,36,NKS
27909,CSE313,1,36,SA
27910,EEE2039,1,36,SIS
27911,ETE2021,1,36,AK
27912,MGT2011,2,36,SLP
27913,EEE2012,1,36,RF
27914,CSE1021,1,36,NKS
27915,MEC2011,1,36,AMAN
27916,EEE2023,1,36,TNS
27917,ACT1021,5,36,KSP
27918,MATH2015,1,36,MDAR
27919,MATH2015,4,36,KHC
27920,PHY1031,1,36,RZU
27921,ACT122,2,36,KSP
27922,MATH1034,4,36,MDMR
27923,STAT2012,3,36,MDRK
27924,CSE2014,4,36,SA
27925,ETE2023,1,36,SIS
27926,ACT1021,4,36,KSP
27927,EEE3021,1,36,TNS
27928,STAT213,1,36,MDRK
27929,EEE2012,2,36,RF
27930,EEE2023,2,36,TNS
27931,PHY1034,1,36,MNIK
27932,ETE3021,1,36,TNS
27933,MEC2011,2,36,AMAN
27934,CSE3013,2,36,MOUA
27935,CHEM1031,3,36,SAFN
27936,EEE4021,1,36,MBN
27937,EEE1021,1,36,MMK
27938,BDS1011,1,36,MDRK
27939,ETE2027,1,36,MNIK
27940,ETE4021,1,36,MBN
27941,EEE2011,5,36,SIS
27942,GED211,1,36,MDRK
27943,ECO2021,1,36,TAH
27944,ETE422,1,36,MBN
27945,ETE2011,1,36,SIS
27946,EEE3033,1,36,TNS
27947,CSE234,1,36,SA
27948,EEE2011,3,36,AVR
27949,ETE221,1,36,SIS
27950,ETE3033,1,36,TNS
27951,EEE3011,1,36,AMAN
27952,EEE2011,4,36,AVR
27953,EEE3015,1,36,GKC
27954,ETE3015,1,36,GKC
27955,EEE2031,2,36,MZ
27956,EEE4026,1,36,MNIK
27957,EEE2035,1,36,RDA
27958,CSE3025,1,36,RAJ
27959,CSE3033,1,36,RAJ
27960,CSE423,1,36,KMH
27961,CSE1031,1,36,SM
27962,CSE231,1,36,SM
27963,CSE2021,2,36,AR
27964,CSE325,1,36,RAJ
27965,CSE331,1,36,RAJ
27966,CSE4041,1,36,KMH
27967,CSE2026,1,36,AR
27968,CSE3021,1,36,SM
27969,CSE4034,1,36,MKSR
27970,CSE1034,3,36,MKSR
27971,CSE1034,2,36,KMH
27972,CSE1012,2,36,SM
27973,CSE3023,2,36,RIK
27974,CSE2021,1,36,AR
27975,PHY1021,2,36,MMAS
27976,ACT1021,1,36,AKMZ
27977,CSE2016,1,36,MKSR
27978,CSE1012,3,36,SM
27979,MATH1034,2,36,RBH
27980,CSE123,1,36,AR
27981,EEE3025,1,36,SIS
27982,CSE4011,1,36,AHQ
27983,ACT1021,2,36,AKMZ
27984,MATH1034,1,36,RBH
27985,MATH1035,1,36,MDAR
27986,CSE3023,1,36,RIK
27987,EEE2025,1,36,AK
27988,CSE412,1,36,AHQ
27989,ACT1021,3,36,SRJ
27990,MATH134,1,36,RBH
27991,MATH135,1,36,MDAR
27992,CSE323,1,36,RIK
27993,ETE2025,1,36,AK
27994,EEE2035,2,36,RDA
27995,EEE2023,3,36,AHQ
27996,MGT2011,1,36,SRJ
27997,STAT2012,1,36,MDRK
27998,PHY1031,2,36,MMAS
27999,CHEM1032,1,36,SAFN
28000,MGT2011,3,36,SLP
28001,EEE2013,1,36,MBN
28002,MATH2015,2,36,MDAR
28003,STAT212,1,36,MDRK
28004,STAT2012,2,36,MDRK
28005,ENG1021,3,36,NVA
28006,MATH1034,3,36,MDMR
28007,ETE2013,1,36,MBN
28009,STAT133,1,36,MDRK
28010,CSE2014,1,36,SA
28011,EEE1031,1,36,MZ
28012,ETE3031,1,36,TBD3
28013,EEE2037,1,36,AMAN
28014,CSE2013,2,36,SA
28015,CSE2014,3,36,SA
28016,SOC2031,4,36,MBN
28017,ETE1031,1,36,MZ
28018,CSE1031,3,36,GKC
28019,EEE4011,1,36,DMQ
28020,EEE3037,1,36,AK
28021,EEE2011,2,36,MMK
28022,ETE4023,1,36,AK
28023,EEE1022,1,36,MMK
28024,EEE1021,4,36,NVA
28025,MATH1035,3,36,MDMR
28026,ETE3037,1,36,AK
28027,EEE3035,1,36,DMQ
28028,ETE414,1,36,AK
28029,ETE1021,1,36,NVA
28030,EEE1021,2,36,MMK
28031,ETE335,1,36,AK
28032,ETE3035,1,36,DMQ
28033,MATH2014,3,36,KHC
28034,CSE1012,6,36,NKS
28035,ETE211,1,36,NVA
28036,CSE1031,4,36,GKC
28037,CSE424,1,36,DMQ
28038,MATH1024,4,36,KHC
28039,PHY1021,1,36,MMK
28040,EEE4013,1,36,RZU
28041,EEE1021,3,36,NVA
28042,EEE4025,1,36,DMQ
28043,CSE1011,4,36,NKS
28044,EEE2013,2,36,NVA
28045,ETE4013,1,36,RZU
28046,MATH2014,2,36,KHC
28047,BDS1011,2,36,TBD
28048,CSE2015,2,36,SAHA
28049,ECO2021,2,36,TAH
28050,MATH1035,4,36,MDMR
28051,MATH2014,1,36,DMAM
28052,CSE4039,1,36,UKA
28053,CSE232,1,36,TNS
28054,EEE2031,1,36,MZ
28055,CSE435,1,36,UKA
28056,ACT122,1,36,SRJ
28057,ETE4031,1,36,RZU
28058,CSE1011,3,36,NKS
28059,CSE1031,5,36,GKC
28060,ENG1021,4,36,TBD
28061,EEE1022,3,36,MMK
28062,CSE1012,4,36,NKS
28063,CSE2026,2,36,AR
28064,CSE3024,2,36,RIK
28065,EEE2012,3,36,RF
28066,CSE2014,2,36,SA
28067,CSE4012,1,36,AHQ
28068,ETE1032,1,36,MZ
28069,EEE2012,4,36,MBN
28070,EEE1022,4,36,MNIK
28071,MEC1011,2,36,TBD
28072,MEC1011,1,36,TBD
28073,CSE4014,1,36,KMH
28074,CSE2016,3,36,MKSR
28075,CSE3032,1,36,RIK
28076,CSE1034,1,36,KMH
28077,CSE1034,4,36,MKSR
28078,CSE2016,2,36,MKSR
28079,CSE3014,1,36,SA
28080,CSE3014,2,36,SA
28081,PHY1034,5,36,MNIK
28082,EEE4012,2,36,DMQ
28083,PHY1034,3,36,MNIK
28084,ETE4024,1,36,AK
28085,EEE2040,2,36,MZ
28086,ETE2022,1,36,SIS
28087,PHY1034,2,36,MNIK
28088,EEE1022,2,36,MMK
28089,EEE1022,7,36,NVA
28090,CSE1012,5,36,NKS
28093,EEE2014,1,36,MBN
28094,EEE2014,2,36,MBN
28095,ETE2014,1,36,MBN
28096,EEE1032,1,36,MZ
28097,EEE2038,1,36,AMAN
28098,EEE3012,2,36,AMAN
28099,EEE3012,1,36,AMAN
28100,ETE2024,1,36,SIS
28101,EEE2038,2,36,RDA
28102,ETE4022,1,36,MBN
28103,EEE4012,1,36,DMQ
28104,EEE2026,1,36,AK
28105,ETE3038,1,36,AK
28106,CHEM1032,2,36,SAFN
28107,EEE2040,1,36,SIS
28108,EEE3024,2,36,RDA
28109,PHY1034,4,36,MBN
28110,ETE2026,1,36,AK
28111,EEE2032,2,36,MZ
28112,EEE3024,1,36,RDA
28113,CHEM1032,3,36,SAFN
28114,EEE4014,1,36,RZU
28115,EEE2032,1,36,MZ
28116,ETE2024,2,36,SIS
28117,EEE1032,2,36,NVA
28118,EEE4022,1,36,MBN
28119,ETE4014,1,36,RZU
28121,EEE2024,3,36,TNS
28122,EEE2032,3,36,MZ
28123,ETE3032,1,36,TBD3
28124,ETE4032,1,36,RZU
28125,EEE1022,5,36,NVA
28126,EEE1022,6,36,NVA
28127,MEC1011,3,36,TBD
28128,MEC1011,4,36,TBD
28129,EEE2024,4,36,TNS
28130,EEE4056,1,36,TBD15
28131,EEE4055,1,36,TBD17
28132,GED2211,1,36,ARAI
28133,IST2221,1,36,DMKA
28134,IST2223,1,36,SMHI
28135,IST2222,1,36,HBH
28137,MGT3135,6,36,TBD20
28138,EEE4000,1,36,TBD17
28139,ETE433,1,36,TBD17
28140,ETE434,1,36,TBD17
28142,ETE4055,1,36,TBD17
28143,ETE4056,1,36,TBD17
28144,ETE400,1,36,TBD17
28145,ETE4000,1,36,TBD17
28146,CSE131,1,36,GKC
28147,CSE213,1,36,MBN
28149,ETE222,1,36,AK
28150,ETE225,1,36,AK
28151,ETE212,1,36,MZ
28152,ETE233,1,36,RZU
28153,ETE315,1,36,GKC
28154,ETE324,1,36,TNS
28155,ETE331,1,36,TBD3
28156,ETE333,1,36,SIS
28157,ETE411,1,36,DMQ
28158,ETE413,1,36,DMQ
28159,MEC1001,1,36,EMM
28160,CSE2013,3,36,SA
28161,MEC1001,2,36,EMM
28162,PHY222,1,36,DMH
28163,BUS1111,10,36,SRT
28164,GED1114,10,36,SUS
28165,IS421,1,36,SOH
28166,IS422,1,36,HBH
28167,IS438,1,36,SMHI
28168,IS431,1,36,DMKA
28169,ECO3237,2,36,HBH
28170,IST3221,2,36,DAK
28171,IST3222,2,36,SOH
28172,IST3231,2,36,MLI
28173,MDS5305,1,36,DHK
28174,MDS5313,1,36,DRD
28175,MDS5315,1,36,PRH
28176,MDS5317,1,36,DRB
28177,BUS8101,5,36,TBD20
28178,ECO4244,2,36,DMD
28179,IST4239,2,36,SMHI
28180,IST4232,2,36,SOH
28181,IST4231,2,36,DMKA
28182,IS321,1,36,DAK
28183,IS322,1,36,SOH
28184,IS332,2,36,DMD
28185,MEC1001,3,36,EMM
28186,IST1211,1,36,HBH
28187,IST1212,1,36,DMKA
28188,IST1213,1,36,MKI
28189,IST1222,1,36,DFI
28190,LLBH2222,1,36,SRF
28192,IST2232,1,36,SMHI
28193,BUS8100,3,36,TBD20
28194,CHEM1013,3,36,SD
28195,MKT5135,5,36,SAL
28196,ECO1216,2,36,SOH
28197,IST1224,2,36,SMHI
28198,IST1231,2,36,DMKA
28199,IST1232,2,36,MKI
28200,MIS5122,5,36,MEK
28201,ETE221,2,36,RF
28202,CSE224,1,36,MDRK
28203,ETE2023,2,36,TBD1
28204,ETE2024,4,36,TBD1
28205,MATH135,2,36,MDMR
28206,MATH134,2,36,MDMR
28207,ENG1001,28,36,AJM
28208,HRM5186,5,36,MHS
28209,MATH1011,3,36,SAAF
28210,CSE112,1,36,NKS
28211,CHEM1032,4,36,SAFN
28212,MGT5199,12,36,TBD20
28213,TEX1015,3,36,MRE
28214,FIN5134,5,36,RQB
28215,HRM5186,6,36,MHS
28216,MIS5122,6,36,MEK
28217,MKT5135,6,36,SAL
28219,CHEM1014,5,36,AKG
28220,TEX2035,2,36,MIS
28221,TEX2031,2,36,MA
28222,MDS5337,1,36,DRD
28223,TEX4024,1,36,MIS
28224,ARCH4361,1,36,MMZ
28225,TEX2037,2,36,IRZ
28226,MATH215,1,36,MDAR
28227,CSE213,2,36,SA
28228,ME2033,2,36,RHQ
28229,LLBH4237,1,36,SAM
28230,LLBH4238,1,36,SAM
28231,MGT1214,2,36,DSA
28232,IST3232,2,36,DMD
28233,IST4211,2,36,HBH
28234,IST4212,2,36,MKI
28235,ETE423,1,36,AK
28236,ETE415,1,36,RZU
28237,IST4238,2,36,SMHI
28238,IST4221,2,36,SOH
28239,IST4222,2,36,HBH
28240,LLBH4235,1,36,AZ
28242,ECO332,1,36,DAK
28243,IS111,1,36,HBH
28244,IS112,1,36,DMKA
28245,IS113,1,36,MKI
28246,IS122,1,36,DAFI
28247,IS312,1,36,MKI
28248,IS311,1,36,DSA
28249,IS314,1,36,SMHI
28250,INT0104,3,36,TBD20
28251,LLBH4231,1,36,MRR
28252,LLBH2224,2,36,
28253,MGT4027,2,36,ANK
28254,LLBH3224,1,36,AZN
28255,ENG1214,1,36,AMD
28256,PHY1037,2,36,FAQ
28257,CELP1,1,36,TBD17
28258,CELP2,1,36,AYSK
28259,IST3211,1,36,DSA
28260,ME1035,2,36,ZF
28261,BUS1111,11,36,MHJ
28262,GED1114,11,36,SWD
28263,LLB22356,1,36,
28264,LLB2235,1,36,
28265,ME3023,3,36,ZF
28266,PHY1025,3,36,FAQ
28267,BUS8101,6,36,TBD20
28268,GP311,1,36,HBH
28269,CS1216,1,36,MNIK
28270,LLBH3221,1,36,SAS
28271,LLBH3215,1,36,AED
28272,LLBH3225,1,36,LCB
28273,TEX3013,4,36,MUF
28274,CHEM1013,4,36,SD
28275,ENG125,1,36,NVA
28276,LLBH32220,2,36,
28277,EEE4014,2,36,RZU
28278,MATH214,1,36,DMAM
28279,IST5221,1,36,SOH
28280,IST5222,1,36,MKI
28281,IST5231,1,36,DFI
28282,IST5232,1,36,DSA
28283,MGT2133,6,36,FFT
28284,MGT1113,9,36,SKA
28285,MKT5135,7,36,JKH
28286,MIS5122,7,36,ZHM
28287,HRM5186,7,36,DMM
28288,ACT1123,12,36,AAP
28289,MGT3131,6,36,SMJ
28290,BUS3124,7,36,MIZ
28291,ACT3136,6,36,RBB
28292,MKT2123,12,36,SIN
28293,MIS2111,12,36,BDZ
28294,ECO1132,5,36,LTK
28295,BUS1123,9,36,LJA
28296,MATH1024,5,36,MDMR
28297,ENG1001,29,36,SYC
28298,GED1114,12,36,ANT
28299,BUS1111,12,36,GAF
28300,IS521,1,36,SOH
28301,IS522,1,36,MKI
28302,CSE1031,2,36,TBD6
28303,TEX1031,2,36,AKG
28304,ENG1021,1,36,RAJ
28305,CHEM1031,4,36,SAFN
28306,CSE1011,5,36,AHQ
28307,MATH1024,6,36,DMAM
28308,CSE4027,1,36,AHQ
28311,CSE1012,7,36,AHQ
28313,CSE111,1,36,MNIK
28314,CSE425,1,36,AHQ
28315,ENG1001,30,36,NAN
28316,ENG1002,26,36,NAN
28317,CSE223,1,36,SAHA
28318,CSE4028,1,36,AHQ
28319,ORE4001,1,36,TBD1
28320,ORE4001,2,36,TBD30
28321,ORE4001,3,36,TBD30
28322,BPH4014,1,36,SJT
28323,BPH3018,1,36,ADL
28324,BPH3018,2,36,ADL
28325,PHARM4049,1,36,JOT
28326,PHARM4049,2,36,SKL
28327,PHARM4049,3,36,JOT
28328,PHARM4061,1,36,FZP
28329,PHARM4061,2,36,PMR
28330,PHARM4061,3,36,PMR
28331,PHARM4062,1,36,MSQ
28332,PHARM4062,2,36,SIZ
28333,PHARM4062,3,36,SIZ
28334,PHARM4045,1,36,SBN
28335,PHARM4045,2,36,SBN
28336,PHARM4045,3,36,SBN
28337,PHARM4046,1,36,JOT
28338,PHARM4046,2,36,JOT
28339,PHARM4046,3,36,JOT
28340,PHARM4009,1,36,TBD30
28341,PHARM4009,2,36,YB
28342,PHARM4009,3,36,TBD30
28343,PHARM4007,1,36,YB
28344,PHARM4007,2,36,TBD30
28345,PHARM4007,3,36,TBD30
28346,BPH4018,1,36,SNJ
28347,BPH4018,2,36,SNJ
28348,BPH4018,3,36,SNJ
28349,BPH4017,1,36,SSW
28350,BPH4017,2,36,SSW
28351,BPH4017,3,36,SSW
28352,BPH4016,1,36,ADU
28353,BPH4016,2,36,ASZ
28354,BPH4016,3,36,ADU
28355,BPH4015,1,36,FZP
28356,BPH4015,2,36,SMAR
28357,BPH4015,3,36,SMAR
28358,LLBH4225,1,36,ABMM
28359,BPH4014,2,36,AFM
28360,BPH4014,3,36,AFM
28361,BPH4013,1,36,AFM
28362,BPH4013,2,36,IRS
28363,BPH4013,3,36,IRS
28364,BPH4012,1,36,SNJ
28365,BPH4012,2,36,IRS
28366,BPH4012,3,36,IRS
28367,BPH4011,1,36,YB
28368,BPH4011,2,36,SZR
28369,BPH4011,3,36,SZR
28370,BPH3027,1,36,MUN
